Circuito,Curva,Peralte_Grados,Distancia_Inicio_m,Distancia_Fin_m
Jeddah,T18,2.0,FALTA,FALTA
Jeddah,T19,2.0,FALTA,FALTA
Jeddah,T20,2.0,FALTA,FALTA
Jeddah,T21,2.0,FALTA,FALTA
Jeddah,T22,2.0,FALTA,FALTA
Jeddah,T23,2.0,FALTA,FALTA
Jeddah,T24,2.0,FALTA,FALTA
Jeddah,T25,2.0,FALTA,FALTA
Jeddah,T26,2.0,FALTA,FALTA
Jeddah,T27,2.0,FALTA,FALTA
Mexico City,T1,2.0,FALTA,FALTA
Mexico City,T2,2.0,FALTA,FALTA
Mexico City,T3,2.0,FALTA,FALTA
Mexico City,T4,2.0,FALTA,FALTA
Mexico City,T5,2.0,FALTA,FALTA
Mexico City,T6,2.0,FALTA,FALTA
Mexico City,T7,2.0,FALTA,FALTA
Mexico City,T8,2.0,FALTA,FALTA
Mexico City,T9,2.0,FALTA,FALTA
Mexico City,T10,2.0,FALTA,FALTA
Mexico City,T11,2.0,FALTA,FALTA
Mexico City,T12,2.0,FALTA,FALTA
Mexico City,T13,2.0,FALTA,FALTA
Mexico City,T14,2.0,FALTA,FALTA
Mexico City,T15,2.0,FALTA,FALTA
Mexico City,T16,2.0,FALTA,FALTA
Mexico City,T17,2.0,FALTA,FALTA
Spa-Francorchamps,T1,2.0,249.94,419.07
Spa-Francorchamps,T2,4.5,1062.21,1062.21
Spa-Francorchamps,T3,4.5,1096.35,1186.48
Spa-Francorchamps,T4,4.5,1186.48,1342.88
Spa-Francorchamps,T5,4.5,2315.9,2455.36
Spa-Francorchamps,T6,2.0,2413.16,2528.52
Spa-Francorchamps,T7,2.0,2543.0,2737.98
Spa-Francorchamps,T8,2.0,2835.92,3144.81
Spa-Francorchamps,T9,2.0,3144.81,3339.7
Spa-Francorchamps,T10,3.0,3627.74,3926.35
Spa-Francorchamps,T11,3.0,3897.9,4121.98
Spa-Francorchamps,T12,2.0,4355.7,4529.26
Spa-Francorchamps,T13,2.0,4510.54,4755.02
Spa-Francorchamps,T14,2.0,4755.02,5021.61
Spa-Francorchamps,T15,2.0,5010.45,5321.61
Spa-Francorchamps,T16,2.0,5809.26,5911.32
Spa-Francorchamps,T17,2.0,5976.44,6254.99
Spa-Francorchamps,T18,2.0,6590.18,6700.65
Spa-Francorchamps,T19,2.0,6692.69,6793.38
Monza,T1,2.0,738.16,920.77
Monza,T2,2.0,910.75,967.21
Monza,T3,2.0,1269.66,1718.66
Monza,T4,2.0,1980.56,2131.66
Monza,T5,2.0,2155.5,2155.5
Monza,T6,2.0,2355.5,2603.91
Monza,T7,2.0,2724.07,2881.32
Monza,T8,2.5,3724.73,3943.8
Monza,T9,2.5,3930.28,4008.6
Monza,T10,2.5,4026.91,4127.42
Monza,T11,2.8,4982.33,5193.05
Melbourne,T1,2.0,269.19,383.87
Melbourne,T2,2.0,383.87,605.15
Melbourne,T3,2.0,935.34,1140.98
Melbourne,T4,2.0,1134.13,1301.97
Melbourne,T5,2.0,1314.62,1610.1
Melbourne,T6,2.0,1753.58,1898.33
Melbourne,T7,2.0,1865.72,1981.75
Melbourne,T8,2.0,2035.44,2274.76
Melbourne,T9,2.0,3208.77,3320.19
Melbourne,T10,2.0,3298.56,3427.35
Melbourne,T11,2.0,3999.56,4186.48
Melbourne,T12,2.0,4251.63,4471.61
Melbourne,T13,2.0,4482.69,4656.27
Melbourne,T14,2.0,4644.76,4859.07
Sakhir,T1,2.0,639.49,760.32
Sakhir,T2,2.0,748.05,875.39
Sakhir,T3,2.0,863.21,1009.41
Sakhir,T4,3.0,1386.49,1602.74
Sakhir,T5,2.0,1755.54,1825.64
Sakhir,T6,2.0,1808.82,1892.98
Sakhir,T7,2.0,1907.72,2082.48
Sakhir,T8,2.0,2082.48,2301.23
Sakhir,T9,2.0,2435.08,2624.53
Sakhir,T10,2.0,2607.45,2761.54
Sakhir,T11,4.0,3218.71,3583.32
Sakhir,T12,3.0,3844.46,3844.46
Sakhir,T13,3.0,3956.46,4140.12
Sakhir,T14,2.0,4726.34,4920.09
Sakhir,T15,2.0,4907.32,5006.0
Baku,T1,1.5,175.4,378.01
Baku,T2,1.5,467.6,683.74
Baku,T3,1.5,1411.01,1622.95
Baku,T4,1.5,1601.57,1765.6
Baku,T5,1.5,1915.38,2102.24
Baku,T6,1.5,2093.19,2143.61
Baku,T7,1.5,2431.78,2541.49
Baku,T8,1.5,2618.78,2736.94
Baku,T9,1.5,2736.94,2736.94
Baku,T10,1.5,2736.94,2783.83
Baku,T11,1.5,2779.6,2842.53
Baku,T12,1.5,2833.43,2944.37
Baku,T13,1.5,3173.07,3322.28
Baku,T14,1.5,3399.44,3533.34
Baku,T15,1.5,3598.52,3729.38
Baku,T16,1.5,3949.06,4105.14
Baku,T17,1.5,4226.83,4322.52
Baku,T18,1.5,4375.24,4572.22
Baku,T19,1.5,4535.25,4683.01
Baku,T20,1.5,4933.91,4994.12
Barcelona,T1,2.0,FALTA,FALTA
Barcelona,T2,2.0,FALTA,FALTA
Barcelona,T3,3.0,FALTA,FALTA
Barcelona,T4,2.0,FALTA,FALTA
Barcelona,T5,2.0,FALTA,FALTA
Barcelona,T6,2.0,FALTA,FALTA
Barcelona,T7,2.0,FALTA,FALTA
Barcelona,T8,2.0,FALTA,FALTA
Barcelona,T9,3.0,FALTA,FALTA
Barcelona,T10,2.0,FALTA,FALTA
Barcelona,T11,2.0,FALTA,FALTA
Barcelona,T12,3.0,FALTA,FALTA
Barcelona,T13,2.0,FALTA,FALTA
Barcelona,T14,2.0,FALTA,FALTA
Monaco,T1,1.5,FALTA,FALTA
Monaco,T2,1.5,FALTA,FALTA
Monaco,T3,1.5,FALTA,FALTA
Monaco,T4,1.5,FALTA,FALTA
Monaco,T5,1.5,FALTA,FALTA
Monaco,T6,1.5,FALTA,FALTA
Monaco,T7,1.5,FALTA,FALTA
Monaco,T8,1.5,FALTA,FALTA
Monaco,T9,1.5,FALTA,FALTA
Monaco,T10,1.5,FALTA,FALTA
Monaco,T11,1.5,FALTA,FALTA
Monaco,T12,1.5,FALTA,FALTA
Monaco,T13,1.5,FALTA,FALTA
Monaco,T14,1.5,FALTA,FALTA
Monaco,T15,1.5,FALTA,FALTA
Monaco,T16,1.5,FALTA,FALTA
Monaco,T17,1.5,FALTA,FALTA
Monaco,T18,1.5,FALTA,FALTA
Monaco,T19,1.5,FALTA,FALTA
Montréal,T1,2.0,FALTA,FALTA
Montréal,T2,2.0,FALTA,FALTA
Montréal,T3,2.0,FALTA,FALTA
Montréal,T4,2.0,FALTA,FALTA
Montréal,T5,2.0,FALTA,FALTA
Montréal,T6,2.0,FALTA,FALTA
Montréal,T7,2.0,FALTA,FALTA
Montréal,T8,2.0,FALTA,FALTA
Montréal,T9,2.0,FALTA,FALTA
Montréal,T10,2.0,FALTA,FALTA
Montréal,T11,2.0,FALTA,FALTA
Montréal,T12,2.0,FALTA,FALTA
Montréal,T13,2.0,FALTA,FALTA
Montréal,T14,2.0,FALTA,FALTA
Le Castellet,T1,2.5,FALTA,FALTA
Le Castellet,T2,2.5,FALTA,FALTA
Le Castellet,T3,2.5,FALTA,FALTA
Le Castellet,T4,2.5,FALTA,FALTA
Le Castellet,T5,2.5,FALTA,FALTA
Le Castellet,T6,2.5,FALTA,FALTA
Le Castellet,T7,2.5,FALTA,FALTA
Le Castellet,T8,2.5,FALTA,FALTA
Le Castellet,T9,2.5,FALTA,FALTA
Le Castellet,T10,2.5,FALTA,FALTA
Le Castellet,T11,2.5,FALTA,FALTA
Le Castellet,T12,2.5,FALTA,FALTA
Le Castellet,T13,2.5,FALTA,FALTA
Le Castellet,T14,2.5,FALTA,FALTA
Le Castellet,T15,2.5,FALTA,FALTA
Spielberg,T1,2.0,FALTA,FALTA
Spielberg,T2,2.0,FALTA,FALTA
Spielberg,T3,3.0,FALTA,FALTA
Spielberg,T4,2.5,FALTA,FALTA
Spielberg,T5,2.0,FALTA,FALTA
Spielberg,T6,2.0,FALTA,FALTA
Spielberg,T7,2.0,FALTA,FALTA
Spielberg,T8,2.0,FALTA,FALTA
Spielberg,T9,2.0,FALTA,FALTA
Spielberg,T10,2.0,FALTA,FALTA
Silverstone,T1,2.0,FALTA,FALTA
Silverstone,T2,2.0,FALTA,FALTA
Silverstone,T3,2.0,FALTA,FALTA
Silverstone,T4,2.0,FALTA,FALTA
Silverstone,T5,2.0,FALTA,FALTA
Silverstone,T6,2.0,FALTA,FALTA
Silverstone,T7,2.5,FALTA,FALTA
Silverstone,T8,2.0,FALTA,FALTA
Silverstone,T9,2.0,FALTA,FALTA
Silverstone,T10,2.5,FALTA,FALTA
Silverstone,T11,2.5,FALTA,FALTA
Silverstone,T12,2.5,FALTA,FALTA
Silverstone,T13,2.5,FALTA,FALTA
Silverstone,T14,2.0,FALTA,FALTA
Silverstone,T15,2.0,FALTA,FALTA
Silverstone,T16,2.0,FALTA,FALTA
Silverstone,T17,2.0,FALTA,FALTA
Silverstone,T18,2.0,FALTA,FALTA
Hockenheim,T1,2.0,FALTA,FALTA
Hockenheim,T2,2.0,FALTA,FALTA
Hockenheim,T3,2.0,FALTA,FALTA
Hockenheim,T4,2.0,FALTA,FALTA
Hockenheim,T5,2.0,FALTA,FALTA
Hockenheim,T6,2.0,FALTA,FALTA
Hockenheim,T7,2.0,FALTA,FALTA
Hockenheim,T8,2.0,FALTA,FALTA
Hockenheim,T9,2.0,FALTA,FALTA
Hockenheim,T10,2.0,FALTA,FALTA
Hockenheim,T11,2.0,FALTA,FALTA
Hockenheim,T12,2.0,FALTA,FALTA
Hockenheim,T13,2.0,FALTA,FALTA
Hockenheim,T14,2.0,FALTA,FALTA
Hockenheim,T15,2.0,FALTA,FALTA
Hockenheim,T16,2.0,FALTA,FALTA
Hockenheim,T17,2.0,FALTA,FALTA
Budapest,T1,2.5,FALTA,FALTA
Budapest,T2,2.0,FALTA,FALTA
Budapest,T3,2.0,FALTA,FALTA
Budapest,T4,2.0,FALTA,FALTA
Budapest,T5,2.0,FALTA,FALTA
Budapest,T6,2.0,FALTA,FALTA
Budapest,T7,2.0,FALTA,FALTA
Budapest,T8,2.0,FALTA,FALTA
Budapest,T9,2.0,FALTA,FALTA
Budapest,T10,2.0,FALTA,FALTA
Budapest,T11,2.0,FALTA,FALTA
Budapest,T12,2.0,FALTA,FALTA
Budapest,T13,2.0,FALTA,FALTA
Budapest,T14,2.0,FALTA,FALTA
Marina Bay,T1,1.5,FALTA,FALTA
Marina Bay,T2,1.5,FALTA,FALTA
Marina Bay,T3,1.5,FALTA,FALTA
Marina Bay,T4,1.5,FALTA,FALTA
Marina Bay,T5,1.5,FALTA,FALTA
Marina Bay,T6,1.5,FALTA,FALTA
Marina Bay,T7,1.5,FALTA,FALTA
Marina Bay,T8,1.5,FALTA,FALTA
Marina Bay,T9,1.5,FALTA,FALTA
Marina Bay,T10,1.5,FALTA,FALTA
Marina Bay,T11,1.5,FALTA,FALTA
Marina Bay,T12,1.5,FALTA,FALTA
Marina Bay,T13,1.5,FALTA,FALTA
Marina Bay,T14,1.5,FALTA,FALTA
Marina Bay,T15,1.5,FALTA,FALTA
Marina Bay,T16,1.5,FALTA,FALTA
Marina Bay,T17,1.5,FALTA,FALTA
Marina Bay,T18,1.5,FALTA,FALTA
Marina Bay,T19,1.5,FALTA,FALTA
Sochi,T3,3.0,FALTA,FALTA
Sochi,T1,2.0,FALTA,FALTA
Sochi,T2,2.0,FALTA,FALTA
Sochi,T3,2.0,FALTA,FALTA
Sochi,T4,2.0,FALTA,FALTA
Sochi,T5,2.0,FALTA,FALTA
Sochi,T6,2.0,FALTA,FALTA
Sochi,T7,2.0,FALTA,FALTA
Sochi,T8,2.0,FALTA,FALTA
Sochi,T9,2.0,FALTA,FALTA
Sochi,T10,2.0,FALTA,FALTA
Sochi,T11,2.0,FALTA,FALTA
Sochi,T12,2.0,FALTA,FALTA
Sochi,T13,2.0,FALTA,FALTA
Sochi,T14,2.0,FALTA,FALTA
Sochi,T15,2.0,FALTA,FALTA
Sochi,T16,2.0,FALTA,FALTA
Sochi,T17,2.0,FALTA,FALTA
Sochi,T18,2.0,FALTA,FALTA
Yas Island,T1,2.0,FALTA,FALTA
Yas Island,T2,2.0,FALTA,FALTA
Yas Island,T3,2.0,FALTA,FALTA
Yas Island,T4,2.0,FALTA,FALTA
Yas Island,T5,2.0,FALTA,FALTA
Yas Island,T6,2.0,FALTA,FALTA
Yas Island,T7,2.0,FALTA,FALTA
Yas Island,T8,2.0,FALTA,FALTA
Yas Island,T9,2.0,FALTA,FALTA
Yas Island,T10,2.0,FALTA,FALTA
Yas Island,T11,2.0,FALTA,FALTA
Yas Island,T12,2.0,FALTA,FALTA
Yas Island,T13,2.0,FALTA,FALTA
Yas Island,T14,2.0,FALTA,FALTA
Yas Island,T15,2.0,FALTA,FALTA
Yas Island,T16,2.0,FALTA,FALTA
Portimão,T1,2.5,FALTA,FALTA
Portimão,T2,2.5,FALTA,FALTA
Portimão,T3,2.5,FALTA,FALTA
Portimão,T4,2.5,FALTA,FALTA
Portimão,T5,2.5,FALTA,FALTA
Portimão,T6,2.5,FALTA,FALTA
Portimão,T7,2.5,FALTA,FALTA
Portimão,T8,2.5,FALTA,FALTA
Portimão,T9,2.5,FALTA,FALTA
Portimão,T10,2.5,FALTA,FALTA
Portimão,T11,2.5,FALTA,FALTA
Portimão,T12,2.5,FALTA,FALTA
Portimão,T13,2.5,FALTA,FALTA
Portimão,T14,2.5,FALTA,FALTA
Portimão,T15,2.5,FALTA,FALTA
Imola,T1,2.0,FALTA,FALTA
Imola,T2,2.0,FALTA,FALTA
Imola,T3,2.0,FALTA,FALTA
Imola,T4,2.0,FALTA,FALTA
Imola,T5,2.0,FALTA,FALTA
Imola,T6,2.0,FALTA,FALTA
Imola,T7,2.0,FALTA,FALTA
Imola,T8,2.0,FALTA,FALTA
Imola,T9,2.0,FALTA,FALTA
Imola,T10,2.0,FALTA,FALTA
Imola,T11,2.0,FALTA,FALTA
Imola,T12,2.0,FALTA,FALTA
Imola,T13,2.0,FALTA,FALTA
Imola,T14,2.0,FALTA,FALTA
Imola,T15,2.0,FALTA,FALTA
Imola,T16,2.0,FALTA,FALTA
Imola,T17,2.0,FALTA,FALTA
Imola,T18,2.0,FALTA,FALTA
Imola,T19,2.0,FALTA,FALTA
Mugello,T1,2.5,FALTA,FALTA
Mugello,T2,2.5,FALTA,FALTA
Mugello,T3,2.5,FALTA,FALTA
Mugello,T4,2.5,FALTA,FALTA
Mugello,T5,2.5,FALTA,FALTA
Mugello,T6,2.5,FALTA,FALTA
Mugello,T7,2.5,FALTA,FALTA
Mugello,T8,2.5,FALTA,FALTA
Mugello,T9,2.5,FALTA,FALTA
Mugello,T10,2.5,FALTA,FALTA
Mugello,T11,2.5,FALTA,FALTA
Mugello,T12,2.5,FALTA,FALTA
Mugello,T13,2.5,FALTA,FALTA
Mugello,T14,2.5,FALTA,FALTA
Mugello,T15,2.5,FALTA,FALTA
Lusail,T1,2.0,FALTA,FALTA
Lusail,T2,2.0,FALTA,FALTA
Lusail,T3,2.0,FALTA,FALTA
Lusail,T4,2.0,FALTA,FALTA
Lusail,T5,2.0,FALTA,FALTA
Lusail,T6,2.0,FALTA,FALTA
Lusail,T7,2.0,FALTA,FALTA
Lusail,T8,2.0,FALTA,FALTA
Lusail,T9,2.0,FALTA,FALTA
Lusail,T10,2.0,FALTA,FALTA
Lusail,T11,2.0,FALTA,FALTA
Lusail,T12,2.0,FALTA,FALTA
Lusail,T13,2.0,FALTA,FALTA
Lusail,T14,2.0,FALTA,FALTA
Lusail,T15,2.0,FALTA,FALTA
Lusail,T16,2.0,FALTA,FALTA
Miami,T1,2.0,FALTA,FALTA
Miami,T2,2.0,FALTA,FALTA
Miami,T3,2.0,FALTA,FALTA
Miami,T4,2.0,FALTA,FALTA
Miami,T5,2.0,FALTA,FALTA
Miami,T6,2.0,FALTA,FALTA
Miami,T7,2.0,FALTA,FALTA
Miami,T8,2.0,FALTA,FALTA
Miami,T9,2.0,FALTA,FALTA
Miami,T10,2.0,FALTA,FALTA
Miami,T11,2.0,FALTA,FALTA
Miami,T12,2.0,FALTA,FALTA
Miami,T13,2.0,FALTA,FALTA
Miami,T14,2.0,FALTA,FALTA
Miami,T15,2.0,FALTA,FALTA
Miami,T16,2.0,FALTA,FALTA
Miami,T17,2.0,FALTA,FALTA
Miami,T18,2.0,FALTA,FALTA
Miami,T19,2.0,FALTA,FALTA
Las Vegas,T1,1.5,FALTA,FALTA
Las Vegas,T2,1.5,FALTA,FALTA
Las Vegas,T3,1.5,FALTA,FALTA
Las Vegas,T4,1.5,FALTA,FALTA
Las Vegas,T5,1.5,FALTA,FALTA
Las Vegas,T6,1.5,FALTA,FALTA
Las Vegas,T7,1.5,FALTA,FALTA
Las Vegas,T8,1.5,FALTA,FALTA
Las Vegas,T9,1.5,FALTA,FALTA
Las Vegas,T10,1.5,FALTA,FALTA
Las Vegas,T11,1.5,FALTA,FALTA
Las Vegas,T12,1.5,FALTA,FALTA
Las Vegas,T13,1.5,FALTA,FALTA
Las Vegas,T14,1.5,FALTA,FALTA
Las Vegas,T15,1.5,FALTA,FALTA
Las Vegas,T16,1.5,FALTA,FALTA
Las Vegas,T17,1.5,FALTA,FALTA
